"","No.","Time","Source","Destination","Protocol","Length","Info"
"1583",1583,1634274316.69001,"172.17.0.2","172.17.0.4","UDP (NDN)",717,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%0F/35=%00%00%01%7C%82W%11%8C/33=%00"
"1586",1586,1634274316.69711,"172.17.0.2","172.17.0.9","UDP (NDN)",717,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%0F/35=%00%00%01%7C%82W%11%8C/33=%00"
"1653",1653,1634274326.77216,"172.17.0.2","172.17.0.3","UDP (NDN)",866,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%13/35=%00%00%01%7C%82W8%E7/33=%00"
"1654",1654,1634274326.77224,"172.17.0.2","172.17.0.9","UDP (NDN)",866,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%13/35=%00%00%01%7C%82W8%E7/33=%00"
"1685",1685,1634274330.45928,"172.17.0.2","172.17.0.9","UDP (NDN)",754,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%10/35=%00%00%01%7C%82WGY/33=%00"
"1688",1688,1634274330.46435,"172.17.0.2","172.17.0.4","UDP (NDN)",754,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%10/35=%00%00%01%7C%82WGY/33=%00"
"1745",1745,1634274340.39027,"172.17.0.2","172.17.0.3","UDP (NDN)",849,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%0D/35=%00%00%01%7C%82Wn%1E/33=%00"
"1746",1746,1634274340.39033,"172.17.0.2","172.17.0.9","UDP (NDN)",849,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%0D/35=%00%00%01%7C%82Wn%1E/33=%00"
"1779",1779,1634274344.10159,"172.17.0.2","172.17.0.3","UDP (NDN)",902,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%14/35=%00%00%01%7C%82W%7C%A1/33=%00"
"1782",1782,1634274344.10367,"172.17.0.2","172.17.0.9","UDP (NDN)",902,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%14/35=%00%00%01%7C%82W%7C%A1/33=%00"
"1847",1847,1634274354.32151,"172.17.0.2","172.17.0.4","UDP (NDN)",876,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%10/35=%00%00%01%7C%82W%A4%8C/33=%00"
